,$\phi_1$,$\phi_2$,$\phi_3$,$\phi_4$,acc
CD-RCA(our),0.96,0.0,0.0,0.0,1.0
LIME,0.0,0.02,0.0,0.0,0.0
EIG,-0.19252169923124626,0.20990465566050895,0.0,0.0,0.06
LC,-0.041876703781865504,-0.10533489731483407,0.0,0.0,0.38
GPA,0.0005937870144389359,0.02,0.0,0.0,0.0
z-score,0.7967477435897389,0.956350999485553,0.002115289480531848,0.2190052521422079,0.0
