,$\phi_1$,$\phi_2$,$\phi_3$,$\phi_4$,acc
CD-RCA(our),1.0,0.0,0.0,0.0,1.0
LIME,0.0,0.0,0.0,0.0,0.0
EIG,-0.0019757300907940847,1.0,0.0,0.0,0.0
LC,-0.00011027349044748748,0.20824665282151997,0.0,0.0,0.32
GPA,0.0,1.0,0.0,0.0,0.0
z-score,0.6454583260644127,0.6804104332450476,0.011613297179192125,0.23627849264974007,0.34
